latitude,longitude,depth,mb,Ms,magnitude,time,second,minute,hour,day,month,year
-9.854,117.427,66,5.5,NA,5.5,2.037040509,20.3,53,0,2,1,1973
-9.784,119.303,33,5.8,NA,5.8,100.8305069,55.8,55,19,10,4,1973
-10.246,117.107,33,5.5,NA,5.5,197.2380509,47.6,42,5,16,7,1973
-10.149,117.22,33,5.1,NA,5.1,197.3620903,24.6,41,8,16,7,1973
-9.003,118.709,33,5.2,NA,5.2,209.2404572,15.5,46,5,28,7,1973
-9.436,119.452,58,6,NA,6,353.1965451,1.5,43,4,19,12,1973
-9.641,119.351,52,5.4,NA,5.4,426.0800671,17.8,55,1,2,3,1974
-9.577,118.118,68,5.5,NA,5.5,479.3807546,17.2,8,9,24,4,1974
-8.17,117.849,33,5.6,NA,5.6,481.5138958,0.6,20,12,26,4,1974
-10.741,114.041,33,5.3,NA,5.3,502.887588,7.6,18,21,17,5,1974
-10.879,114.022,26,5.4,NA,5.4,504.385015,25.3,14,9,19,5,1974
-10.714,114.098,53,5,NA,5,515.6843021,23.7,25,16,30,5,1974
-10.144,118.899,33,5.2,NA,5.2,585.1150868,43.5,45,2,8,8,1974
-9.908,119.352,33,6.1,5.7,6.1,757.6319653,1.8,10,15,27,1,1975
-9.601,118.922,62,5.8,NA,5.8,870.8980336,10.1,33,21,20,5,1975
-9.676,117.185,52,5.5,NA,5.5,942.6372546,38.8,17,15,31,7,1975
-10.045,117.408,32,5.3,NA,5.3,1160.725661,57.1,24,17,6,3,1976
-8.17,114.888,40,6.6,6.5,6.6,1290.300972,24,13,7,14,7,1976
-8.127,114.862,33,5.9,NA,5.9,1290.433169,45.8,23,10,14,7,1976
-10.17,118.987,19,6.5,6.3,6.5,1463.413523,28.4,55,9,2,1,1977
-8.219,115.193,33,5.2,NA,5.2,1487.54965,29.8,11,13,26,1,1977
-9.546,119.085,27,5.3,NA,5.3,1518.625366,31.6,0,15,26,2,1977
-7.613,119.013,35,5.6,NA,5.6,1573.226806,36,26,5,22,4,1977
-10.566,118.386,33,6.1,NA,6.1,1692.280215,30.6,43,6,19,8,1977
-10.192,117.412,33,5.5,NA,5.5,1692.318118,5.4,38,7,19,8,1977
-10.748,119.688,33,5.1,NA,5.1,1692.373027,9.5,57,8,19,8,1977
-10.671,119.044,33,5.2,NA,5.2,1692.435963,47.2,27,10,19,8,1977
-10.844,119.232,33,5.4,NA,5.4,1692.451791,34.7,50,10,19,8,1977
-10.954,119.099,33,5.1,NA,5.1,1692.464501,52.9,8,11,19,8,1977
-10.803,119.174,33,5.8,NA,5.8,1692.558067,37,23,13,19,8,1977
-10.658,119.328,33,5.2,NA,5.2,1692.564027,11.9,32,13,19,8,1977
-10.749,119.294,33,5.4,NA,5.4,1692.599054,38.3,22,14,19,8,1977
-10.866,119.174,33,5,NA,5,1692.620843,0.8,54,14,19,8,1977
-10.945,119.091,33,5.3,NA,5.3,1692.660694,24,51,15,19,8,1977
-10.942,119.093,33,5.1,NA,5.1,1692.669962,44.7,4,16,19,8,1977
-10.908,119.104,33,5,NA,5,1692.682303,31,22,16,19,8,1977
-10.803,119.142,33,5.8,NA,5.8,1692.818747,59.7,38,19,19,8,1977
-10.926,119.148,33,5.8,NA,5.8,1692.847438,18.6,20,20,19,8,1977
-10.885,119.229,33,5.8,NA,5.8,1692.899344,3.3,35,21,19,8,1977
-10.913,119.053,33,5.8,NA,5.8,1693.165753,41.1,58,3,20,8,1977
-10.686,119.135,33,5.2,NA,5.2,1693.822227,0.4,44,19,20,8,1977
-10.947,119.067,33,5.4,NA,5.4,1694.098286,31.9,21,2,21,8,1977
-10.969,119.162,33,5.2,NA,5.2,1694.444398,56,39,10,21,8,1977
-10.858,119.221,33,5.6,NA,5.6,1694.853953,41.5,29,20,21,8,1977
-10.734,119.142,33,5.5,NA,5.5,1694.859564,46.3,37,20,21,8,1977
-10.984,119.455,33,5.4,NA,5.4,1696.654856,59.6,42,15,23,8,1977
-10.196,117.96,33,5.4,NA,5.4,1697.089115,19.5,8,2,24,8,1977
-10.112,118.107,33,5,NA,5,1697.791838,14.8,0,19,24,8,1977
-10.743,119.268,33,6.1,NA,6.1,1698.753597,10.8,5,18,25,8,1977
-10.443,119.072,33,6.1,NA,6.1,1698.756367,10.1,9,18,25,8,1977
-10.89,119.215,33,5.4,NA,5.4,1698.797416,16.7,8,19,25,8,1977
-10.808,119.284,33,6,5.5,6,1698.902919,12.2,40,21,25,8,1977
-10.057,118.355,33,5.5,NA,5.5,1698.966655,59,11,23,25,8,1977
-10.667,119.301,33,6.1,5.7,6.1,1699.351823,37.5,26,8,26,8,1977
-9.913,117.717,33,5,NA,5,1703.540926,56,58,12,30,8,1977
-10.976,119.123,33,5.5,NA,5.5,1703.882564,53.5,10,21,30,8,1977
-9.571,118.218,33,5.2,NA,5.2,1710.916218,21.2,59,21,6,9,1977
-10.07,115.516,33,5.1,NA,5.1,1711.11419,26,44,2,7,9,1977
-9.771,119.095,33,5.2,NA,5.2,1719.115382,9,46,2,15,9,1977
-10.402,117.448,33,5.7,5.1,5.7,1719.467649,24.9,13,11,15,9,1977
-10.162,118.234,33,5.2,NA,5.2,1720.194512,5.8,40,4,16,9,1977
-10.468,117.643,33,5.2,NA,5.2,1720.515866,50.8,22,12,16,9,1977
-10.078,117.497,33,5.6,NA,5.6,1735.536471,31.1,52,12,1,10,1977
-10.113,117.605,24,5.2,NA,5.2,1735.567652,25.1,37,13,1,10,1977
-10.186,117.497,19,5.4,NA,5.4,1735.83519,40.4,2,20,1,10,1977
-9.965,117.327,33,5.7,NA,5.7,1741.198417,43.2,45,4,7,10,1977
-10.081,117.656,33,5.6,NA,5.6,1741.235839,36.5,39,5,7,10,1977
